Gaunt[{l1, m1}, {l2, m2}, {l3, m3}] == 
Gaunt[{1, 0}, {7, 0}, {6, 0}] == 0.244927
Gaunt[{1, 0}, {7, 0}, {8, 0}] == 0.24478
Gaunt[{1, 0}, {7, 1}, {6, -1}] == -0.242415
Gaunt[{1, 0}, {7, 1}, {8, -1}] == -0.24286
Gaunt[{1, 0}, {7, 2}, {6, -2}] == 0.234717
Gaunt[{1, 0}, {7, 2}, {8, -2}] == 0.237007
Gaunt[{1, 0}, {7, 3}, {6, -3}] == -0.221293
Gaunt[{1, 0}, {7, 3}, {8, -3}] == -0.226917
Gaunt[{1, 0}, {7, 4}, {6, -4}] == 0.201
Gaunt[{1, 0}, {7, 4}, {8, -4}] == 0.211986
Gaunt[{1, 0}, {7, 5}, {6, -5}] == -0.171413
Gaunt[{1, 0}, {7, 5}, {8, -5}] == -0.191081
Gaunt[{1, 0}, {7, 6}, {6, -6}] == 0.126157
Gaunt[{1, 0}, {7, 6}, {8, -6}] == 0.161907
Gaunt[{1, 0}, {7, 7}, {8, -7}] == -0.118504
Gaunt[{1, 0}, {8, -7}, {7, 7}] == -0.118504
Gaunt[{1, 0}, {8, -6}, {7, 6}] == 0.161907
Gaunt[{1, 0}, {8, -5}, {7, 5}] == -0.191081
Gaunt[{1, 0}, {8, -4}, {7, 4}] == 0.211986
Gaunt[{1, 0}, {8, -3}, {7, 3}] == -0.226917
Gaunt[{1, 0}, {8, -2}, {7, 2}] == 0.237007
Gaunt[{1, 0}, {8, -1}, {7, 1}] == -0.24286
Gaunt[{1, 0}, {8, 0}, {7, 0}] == 0.24478
Gaunt[{1, 0}, {8, 1}, {7, -1}] == -0.24286
Gaunt[{1, 0}, {8, 2}, {7, -2}] == 0.237007
Gaunt[{1, 0}, {8, 3}, {7, -3}] == -0.226917
Gaunt[{1, 0}, {8, 4}, {7, -4}] == 0.211986
Gaunt[{1, 0}, {8, 5}, {7, -5}] == -0.191081
Gaunt[{1, 0}, {8, 6}, {7, -6}] == 0.161907
Gaunt[{1, 0}, {8, 7}, {7, -7}] == -0.118504
Gaunt[{1, 1}, {0, 0}, {1, -1}] == -0.282095
Gaunt[{1, 1}, {1, -1}, {0, 0}] == -0.282095
Gaunt[{1, 1}, {1, -1}, {2, 0}] == 0.126157
Gaunt[{1, 1}, {1, 0}, {2, -1}] == -0.21851
Gaunt[{1, 1}, {1, 1}, {2, -2}] == 0.309019
Gaunt[{1, 1}, {2, -2}, {1, 1}] == 0.309019
Gaunt[{1, 1}, {2, -2}, {3, 1}] == -0.0825889
Gaunt[{1, 1}, {2, -1}, {1, 0}] == -0.21851
Gaunt[{1, 1}, {2, -1}, {3, 0}] == 0.143048
Gaunt[{1, 1}, {2, 0}, {1, -1}] == 0.126157
Gaunt[{1, 1}, {2, 0}, {3, -1}] == -0.202301
Gaunt[{1, 1}, {2, 1}, {3, -2}] == 0.261169
Gaunt[{1, 1}, {2, 2}, {3, -3}] == -0.319865
Gaunt[{1, 1}, {3, -3}, {2, 2}] == -0.319865
Gaunt[{1, 1}, {3, -3}, {4, 2}] == 0.0615581
Gaunt[{1, 1}, {3, -2}, {2, 1}] == 0.261169
Gaunt[{1, 1}, {3, -2}, {4, 1}] == -0.106622
Gaunt[{1, 1}, {3, -1}, {2, 0}] == -0.202301
Gaunt[{1, 1}, {3, -1}, {4, 0}] == 0.150786
Gaunt[{1, 1}, {3, 0}, {2, -1}] == 0.143048
Gaunt[{1, 1}, {3, 0}, {4, -1}] == -0.194664
Gaunt[{1, 1}, {3, 1}, {2, -2}] == -0.0825889
Gaunt[{1, 1}, {3, 1}, {4, -2}] == 0.238414
Gaunt[{1, 1}, {3, 2}, {4, -3}] == -0.282095
Gaunt[{1, 1}, {3, 3}, {4, -4}] == 0.325735
Gaunt[{1, 1}, {4, -4}, {3, 3}] == 0.325735
Gaunt[{1, 1}, {4, -4}, {5, 3}] == -0.0491064
Gaunt[{1, 1}, {4, -3}, {3, 2}] == -0.282095
Gaunt[{1, 1}, {4, -3}, {5, 2}] == 0.0850548
Gaunt[{1, 1}, {4, -2}, {3, 1}] == 0.238414
